O,D,VAL
3619820100002003,3619820100002001,210
3619820100002003,3619820100002002,370
3619820100002003,3619820100002003,1780
3619820100002003,3619820100002004,255
3619820100002003,3619820100002005,150
3619820100002003,3619820100002007,240
3619820100002003,3619820100002010,150
3619820100002003,3619820100002011,375
3619820100002003,3619820100002012,105
3619820100002003,3619820100002014,200
3619820100002003,3619820100002015,215
3619820100002003,3619820100002026,195
3619820100002003,3619820100002027,110
3619820100002003,3619820100002029,110
3619820100002003,3619820100003001,375
3619820100002003,3619820100003002,115
3619820100002004,3619820100001001,1375
3619820100002004,3619820100001002,1050
3619820100002004,3619820100001003,250
3619820100002004,3619820100001004,210
3619820100002004,3619820100001005,205
3619820100002004,3619820100001006,730
3619820100002004,3619820100001007,365
3619820100002004,3619820100001008,900
3619820100002004,3619820100001009,465
3619820100002004,3619820100001010,1895
3619820100002004,3619820100001011,570
3619820100002004,3619820100001012,245
3619820100002004,3619820100001013,245
3619820100002004,3619820100001014,170
3619820100002004,3619820100001015,340
3619820100002004,3619820100001016,200
3619820100002004,3619820100001017,120
